,RunId,iteration,Step,n,width,height,shelf_config,probability_table,spawn_chance,seed,current_population,total_population,G1_population,G2_population,G3_population
0,0,0,0,50,11,4,,,0.3,0,0,0,0,0,0
1,0,0,1,50,11,4,,,0.3,0,0,0,0,0,0
2,0,0,2,50,11,4,,,0.3,0,0,0,0,0,0
3,0,0,3,50,11,4,,,0.3,0,0,0,0,0,0
4,0,0,4,50,11,4,,,0.3,0,1,1,0,1,0
5,0,0,5,50,11,4,,,0.3,0,1,1,0,1,0
6,0,0,6,50,11,4,,,0.3,0,1,1,0,1,0
7,0,0,7,50,11,4,,,0.3,0,1,1,0,1,0
8,0,0,8,50,11,4,,,0.3,0,1,1,0,1,0
9,0,0,9,50,11,4,,,0.3,0,1,1,0,1,0
10,0,0,10,50,11,4,,,0.3,0,1,1,0,1,0
11,0,0,11,50,11,4,,,0.3,0,1,1,0,1,0
12,0,0,12,50,11,4,,,0.3,0,2,2,0,1,1
13,0,0,13,50,11,4,,,0.3,0,2,2,0,1,1
14,0,0,14,50,11,4,,,0.3,0,2,2,0,1,1
15,0,0,15,50,11,4,,,0.3,0,1,2,0,1,1
16,0,0,16,50,11,4,,,0.3,0,1,2,0,1,1
17,0,0,17,50,11,4,,,0.3,0,1,2,0,1,1
18,0,0,18,50,11,4,,,0.3,0,2,3,0,2,1
19,0,0,19,50,11,4,,,0.3,0,2,3,0,2,1
20,0,0,20,50,11,4,,,0.3,0,2,3,0,2,1
21,0,0,21,50,11,4,,,0.3,0,3,4,0,2,2
22,0,0,22,50,11,4,,,0.3,0,3,4,0,2,2
23,0,0,23,50,11,4,,,0.3,0,3,4,0,2,2
24,0,0,24,50,11,4,,,0.3,0,4,5,0,2,3
25,0,0,25,50,11,4,,,0.3,0,4,5,0,2,3
26,0,0,26,50,11,4,,,0.3,0,4,5,0,2,3
27,0,0,27,50,11,4,,,0.3,0,4,5,0,2,3
28,0,0,28,50,11,4,,,0.3,0,5,6,1,2,3
29,0,0,29,50,11,4,,,0.3,0,4,6,1,2,3
30,0,0,30,50,11,4,,,0.3,0,4,6,1,2,3
31,0,0,31,50,11,4,,,0.3,0,4,6,1,2,3
32,0,0,32,50,11,4,,,0.3,0,2,6,1,2,3
33,0,0,33,50,11,4,,,0.3,0,2,6,1,2,3
34,0,0,34,50,11,4,,,0.3,0,2,6,1,2,3
35,0,0,35,50,11,4,,,0.3,0,3,7,1,3,3
36,0,0,36,50,11,4,,,0.3,0,3,7,1,3,3
37,0,0,37,50,11,4,,,0.3,0,3,7,1,3,3
38,0,0,38,50,11,4,,,0.3,0,2,7,1,3,3
39,0,0,39,50,11,4,,,0.3,0,2,7,1,3,3
40,0,0,40,50,11,4,,,0.3,0,3,8,2,3,3
41,0,0,41,50,11,4,,,0.3,0,3,9,2,4,3
42,0,0,42,50,11,4,,,0.3,0,3,9,2,4,3
43,0,0,43,50,11,4,,,0.3,0,3,9,2,4,3
44,0,0,44,50,11,4,,,0.3,0,3,9,2,4,3
45,0,0,45,50,11,4,,,0.3,0,2,9,2,4,3
46,0,0,46,50,11,4,,,0.3,0,2,9,2,4,3
47,0,0,47,50,11,4,,,0.3,0,2,9,2,4,3
48,0,0,48,50,11,4,,,0.3,0,1,9,2,4,3
49,0,0,49,50,11,4,,,0.3,0,2,10,3,4,3
50,0,0,50,50,11,4,,,0.3,0,2,10,3,4,3
51,0,0,51,50,11,4,,,0.3,0,3,11,3,5,3
52,0,0,52,50,11,4,,,0.3,0,3,11,3,5,3
53,0,0,53,50,11,4,,,0.3,0,3,11,3,5,3
54,0,0,54,50,11,4,,,0.3,0,2,11,3,5,3
55,0,0,55,50,11,4,,,0.3,0,2,11,3,5,3
56,0,0,56,50,11,4,,,0.3,0,1,11,3,5,3
57,0,0,57,50,11,4,,,0.3,0,2,12,3,5,4
58,0,0,58,50,11,4,,,0.3,0,3,13,3,5,5
59,0,0,59,50,11,4,,,0.3,0,3,13,3,5,5
60,0,0,60,50,11,4,,,0.3,0,3,13,3,5,5
61,0,0,61,50,11,4,,,0.3,0,4,14,3,5,6
62,0,0,62,50,11,4,,,0.3,0,3,14,3,5,6
63,0,0,63,50,11,4,,,0.3,0,3,14,3,5,6
64,0,0,64,50,11,4,,,0.3,0,3,14,3,5,6
65,0,0,65,50,11,4,,,0.3,0,4,15,3,6,6
66,0,0,66,50,11,4,,,0.3,0,4,15,3,6,6
67,0,0,67,50,11,4,,,0.3,0,5,16,4,6,6
68,0,0,68,50,11,4,,,0.3,0,5,16,4,6,6
69,0,0,69,50,11,4,,,0.3,0,5,16,4,6,6
70,0,0,70,50,11,4,,,0.3,0,5,16,4,6,6
71,0,0,71,50,11,4,,,0.3,0,5,16,4,6,6
72,0,0,72,50,11,4,,,0.3,0,5,17,4,7,6
73,0,0,73,50,11,4,,,0.3,0,6,18,4,7,7
74,0,0,74,50,11,4,,,0.3,0,5,18,4,7,7
75,0,0,75,50,11,4,,,0.3,0,5,18,4,7,7
76,0,0,76,50,11,4,,,0.3,0,4,18,4,7,7
77,0,0,77,50,11,4,,,0.3,0,4,18,4,7,7
78,0,0,78,50,11,4,,,0.3,0,4,18,4,7,7
79,0,0,79,50,11,4,,,0.3,0,4,19,5,7,7
80,0,0,80,50,11,4,,,0.3,0,4,19,5,7,7
81,0,0,81,50,11,4,,,0.3,0,4,19,5,7,7
82,0,0,82,50,11,4,,,0.3,0,3,19,5,7,7
83,0,0,83,50,11,4,,,0.3,0,4,20,5,8,7
84,0,0,84,50,11,4,,,0.3,0,3,20,5,8,7
85,0,0,85,50,11,4,,,0.3,0,3,20,5,8,7
86,0,0,86,50,11,4,,,0.3,0,2,20,5,8,7
87,0,0,87,50,11,4,,,0.3,0,2,20,5,8,7
88,0,0,88,50,11,4,,,0.3,0,2,20,5,8,7
89,0,0,89,50,11,4,,,0.3,0,2,20,5,8,7
90,0,0,90,50,11,4,,,0.3,0,3,21,6,8,7
91,0,0,91,50,11,4,,,0.3,0,4,22,7,8,7
92,0,0,92,50,11,4,,,0.3,0,3,22,7,8,7
93,0,0,93,50,11,4,,,0.3,0,4,23,7,8,8
94,0,0,94,50,11,4,,,0.3,0,4,23,7,8,8
95,0,0,95,50,11,4,,,0.3,0,5,24,7,9,8
96,0,0,96,50,11,4,,,0.3,0,4,24,7,9,8
97,0,0,97,50,11,4,,,0.3,0,4,24,7,9,8
98,0,0,98,50,11,4,,,0.3,0,3,24,7,9,8
99,0,0,99,50,11,4,,,0.3,0,3,25,7,9,9
100,0,0,100,50,11,4,,,0.3,0,3,25,7,9,9
101,0,0,101,50,11,4,,,0.3,0,3,25,7,9,9
102,0,0,102,50,11,4,,,0.3,0,3,25,7,9,9
103,0,0,103,50,11,4,,,0.3,0,3,25,7,9,9
104,0,0,104,50,11,4,,,0.3,0,3,25,7,9,9
105,0,0,105,50,11,4,,,0.3,0,4,26,8,9,9
106,0,0,106,50,11,4,,,0.3,0,4,26,8,9,9
107,0,0,107,50,11,4,,,0.3,0,3,26,8,9,9
108,0,0,108,50,11,4,,,0.3,0,3,26,8,9,9
109,0,0,109,50,11,4,,,0.3,0,2,26,8,9,9
110,0,0,110,50,11,4,,,0.3,0,1,26,8,9,9
111,0,0,111,50,11,4,,,0.3,0,1,26,8,9,9
112,0,0,112,50,11,4,,,0.3,0,2,27,8,10,9
113,0,0,113,50,11,4,,,0.3,0,2,27,8,10,9
114,0,0,114,50,11,4,,,0.3,0,2,27,8,10,9
115,0,0,115,50,11,4,,,0.3,0,2,27,8,10,9
116,0,0,116,50,11,4,,,0.3,0,1,27,8,10,9
117,0,0,117,50,11,4,,,0.3,0,1,27,8,10,9
118,0,0,118,50,11,4,,,0.3,0,1,27,8,10,9
119,0,0,119,50,11,4,,,0.3,0,2,28,9,10,9
120,0,0,120,50,11,4,,,0.3,0,2,28,9,10,9
121,0,0,121,50,11,4,,,0.3,0,2,28,9,10,9
122,0,0,122,50,11,4,,,0.3,0,2,28,9,10,9
123,0,0,123,50,11,4,,,0.3,0,1,28,9,10,9
124,0,0,124,50,11,4,,,0.3,0,1,29,9,11,9
125,0,0,125,50,11,4,,,0.3,0,2,30,10,11,9
126,0,0,126,50,11,4,,,0.3,0,3,31,11,11,9
127,0,0,127,50,11,4,,,0.3,0,3,31,11,11,9
128,0,0,128,50,11,4,,,0.3,0,3,31,11,11,9
129,0,0,129,50,11,4,,,0.3,0,3,31,11,11,9
130,0,0,130,50,11,4,,,0.3,0,4,32,11,12,9
131,0,0,131,50,11,4,,,0.3,0,3,32,11,12,9
132,0,0,132,50,11,4,,,0.3,0,3,32,11,12,9
133,0,0,133,50,11,4,,,0.3,0,3,32,11,12,9
134,0,0,134,50,11,4,,,0.3,0,2,32,11,12,9
135,0,0,135,50,11,4,,,0.3,0,2,33,11,13,9
136,0,0,136,50,11,4,,,0.3,0,2,33,11,13,9
137,0,0,137,50,11,4,,,0.3,0,2,33,11,13,9
138,0,0,138,50,11,4,,,0.3,0,2,33,11,13,9
139,0,0,139,50,11,4,,,0.3,0,2,33,11,13,9
140,0,0,140,50,11,4,,,0.3,0,2,33,11,13,9
141,0,0,141,50,11,4,,,0.3,0,3,34,11,13,10
142,0,0,142,50,11,4,,,0.3,0,3,34,11,13,10
143,0,0,143,50,11,4,,,0.3,0,2,34,11,13,10
144,0,0,144,50,11,4,,,0.3,0,2,34,11,13,10
145,0,0,145,50,11,4,,,0.3,0,2,34,11,13,10
146,0,0,146,50,11,4,,,0.3,0,1,34,11,13,10
147,0,0,147,50,11,4,,,0.3,0,2,35,11,13,11
148,0,0,148,50,11,4,,,0.3,0,2,35,11,13,11
149,0,0,149,50,11,4,,,0.3,0,3,36,11,13,12
150,0,0,150,50,11,4,,,0.3,0,4,37,12,13,12
151,0,0,151,50,11,4,,,0.3,0,4,37,12,13,12
152,0,0,152,50,11,4,,,0.3,0,4,37,12,13,12
153,0,0,153,50,11,4,,,0.3,0,5,38,12,13,13
154,0,0,154,50,11,4,,,0.3,0,5,38,12,13,13
155,0,0,155,50,11,4,,,0.3,0,5,38,12,13,13
156,0,0,156,50,11,4,,,0.3,0,5,39,12,13,14
157,0,0,157,50,11,4,,,0.3,0,6,40,12,13,15
158,0,0,158,50,11,4,,,0.3,0,6,41,12,13,16
159,0,0,159,50,11,4,,,0.3,0,7,42,13,13,16
160,0,0,160,50,11,4,,,0.3,0,7,42,13,13,16
161,0,0,161,50,11,4,,,0.3,0,7,42,13,13,16
162,0,0,162,50,11,4,,,0.3,0,7,42,13,13,16
163,0,0,163,50,11,4,,,0.3,0,8,43,13,14,16
164,0,0,164,50,11,4,,,0.3,0,7,43,13,14,16
165,0,0,165,50,11,4,,,0.3,0,8,44,13,14,17
166,0,0,166,50,11,4,,,0.3,0,7,44,13,14,17
167,0,0,167,50,11,4,,,0.3,0,8,45,13,15,17
168,0,0,168,50,11,4,,,0.3,0,7,45,13,15,17
169,0,0,169,50,11,4,,,0.3,0,7,45,13,15,17
170,0,0,170,50,11,4,,,0.3,0,6,45,13,15,17
171,0,0,171,50,11,4,,,0.3,0,7,46,13,15,18
172,0,0,172,50,11,4,,,0.3,0,7,46,13,15,18
173,0,0,173,50,11,4,,,0.3,0,6,46,13,15,18
174,0,0,174,50,11,4,,,0.3,0,7,47,13,16,18
175,0,0,175,50,11,4,,,0.3,0,7,48,14,16,18
176,0,0,176,50,11,4,,,0.3,0,8,49,14,17,18
177,0,0,177,50,11,4,,,0.3,0,7,49,14,17,18
178,0,0,178,50,11,4,,,0.3,0,7,49,14,17,18
179,0,0,179,50,11,4,,,0.3,0,6,49,14,17,18
180,0,0,180,50,11,4,,,0.3,0,6,49,14,17,18
181,0,0,181,50,11,4,,,0.3,0,6,49,14,17,18
182,0,0,182,50,11,4,,,0.3,0,5,49,14,17,18
183,0,0,183,50,11,4,,,0.3,0,5,49,14,17,18
184,0,0,184,50,11,4,,,0.3,0,5,50,15,17,18
185,0,0,185,50,11,4,,,0.3,0,4,50,15,17,18
186,0,0,186,50,11,4,,,0.3,0,4,50,15,17,18
187,0,0,187,50,11,4,,,0.3,0,3,50,15,17,18
188,0,0,188,50,11,4,,,0.3,0,3,50,15,17,18
189,0,0,189,50,11,4,,,0.3,0,2,50,15,17,18
190,0,0,190,50,11,4,,,0.3,0,2,50,15,17,18
191,0,0,191,50,11,4,,,0.3,0,1,50,15,17,18
192,0,0,192,50,11,4,,,0.3,0,1,50,15,17,18
